CUSTNAME,REGION,PARTNUM,REVENUE,COST,MARGIN
3M COMPANY,01-East,727032005," $ 24,098 "," $ 19,852 "," $ 4,246 "
4-STATE SUPPLY,01-East,735602000," $ 156,200 "," $ 52,381 "," $ 103,819 "
4-STATE SUPPLY,01-East,777143000," $ 34,927 "," $ 15,382 "," $ 19,545 "
4-STATE SUPPLY,01-East,777142000," $ 21,989 "," $ 12,563 "," $ 9,427 "
4-STATE SUPPLY,01-East,735750000," $ 12,487 "," $ 3,687 "," $ 8,800 "
A G C INC.,01-East,791104479," $ 78,642 "," $ 18,147 "," $ 60,495 "
A G C INC.,01-East,791106280," $ 3,340 "," $ 7,614 "," $ -4,274 "
A P S TECHNOLOGY,01-East,764521000, $ 333 , $ 13 , $ 320 
A W CHESTERTON COMPANY,01-East,770560000," $ 2,938 ", $ 258 ," $ 2,679 "
A W CHESTERTON COMPANY,01-East,770568000," $ 1,029 ", $ 90 , $ 940 
A&F WHOLESALE INSULATION,01-East,770264000," $ 95,135 "," $ 41,677 "," $ 53,457 "
A&F WHOLESALE INSULATION,01-East,735602000," $ 89,104 "," $ 26,646 "," $ 62,458 "
A&F WHOLESALE INSULATION,01-East,764861000," $ 70,882 "," $ 30,090 "," $ 40,792 "
A&F WHOLESALE INSULATION,01-East,764521000," $ 70,611 "," $ 22,683 "," $ 47,928 "
A&F WHOLESALE INSULATION,01-East,770220200," $ 69,066 "," $ 21,411 "," $ 47,655 "
A&F WHOLESALE INSULATION,01-East,724281200," $ 45,570 "," $ 24,307 "," $ 21,263 "
A&F WHOLESALE INSULATION,01-East,733151500," $ 21,384 "," $ 5,114 "," $ 16,270 "
A&F WHOLESALE INSULATION,01-East,764901000," $ 12,155 "," $ 3,650 "," $ 8,505 "
A&F WHOLESALE INSULATION,01-East,770380000," $ 12,140 "," $ 2,315 "," $ 9,825 "
A&F WHOLESALE INSULATION,01-East,735602110," $ 11,028 "," $ 3,418 "," $ 7,610 "
A&F WHOLESALE INSULATION,01-East,770200000," $ 10,953 "," $ 2,403 "," $ 8,550 "
A&F WHOLESALE INSULATION,01-East,737271000," $ 6,026 "," $ 9,871 "," $ -3,845 "
A&F WHOLESALE INSULATION,01-East,770540000," $ 4,897 ", $ 475 ," $ 4,423 "
A&F WHOLESALE INSULATION,01-East,733525600," $ 4,693 ", $ 868 ," $ 3,824 "
A&F WHOLESALE INSULATION,01-East,764821000," $ 4,390 "," $ 1,356 "," $ 3,034 "
A&F WHOLESALE INSULATION,01-East,738521000," $ 2,373 "," $ 1,601 ", $ 772 
A&F WHOLESALE INSULATION,01-East,739561200," $ 1,629 ", $ 660 , $ 969 
A&F WHOLESALE INSULATION,01-East,764781000," $ 1,594 ", $ 409 ," $ 1,185 "
A&F WHOLESALE INSULATION,01-East,770512000," $ 1,193 ", $ 89 ," $ 1,104 "
A&F WHOLESALE INSULATION,01-East,733211050, $ 968 , $ 224 , $ 744 
A&F WHOLESALE INSULATION,01-East,734851000, $ 861 , $ 183 , $ 678 
A&F WHOLESALE INSULATION,01-East,739541200, $ 829 , $ 256 , $ 573 
A&F WHOLESALE INSULATION,01-East,764902000, $ 606 , $ 192 , $ 414 
A&F WHOLESALE INSULATION,01-East,735750000, $ 516 , $ 127 , $ 389 
A&F WHOLESALE INSULATION,01-East,734611100, $ 415 , $ 81 , $ 334 
A&F WHOLESALE INSULATION,01-East,739561000, $ 405 , $ 170 , $ 234 
A&F WHOLESALE INSULATION,01-East,734311100, $ 309 , $ 35 , $ 274 
A&F WHOLESALE INSULATION,01-East,733141200, $ 271 , $ 67 , $ 204 
A&F WHOLESALE INSULATION,01-East,733464500, $ 268 , $ 65 , $ 203 
A&F WHOLESALE INSULATION,01-East,735752000, $ 258 , $ 64 , $ 194 
A.C. MILLER CONCRETE,01-East,764481000," $ 23,006 "," $ 1,405 "," $ 21,601 "
A.C. MILLER CONCRETE,01-East,764461006, $ 776 , $ 55 , $ 722 
"ABLE AEROSPACE, INC.",01-East,734311100, $ 381 , $ 34 , $ 348 
ABSORPTION CORP.,01-East,764221000, $ 476 , $ 34 , $ 442 
ACCEL-RF CORPORATION,01-East,733141200, $ 520 , $ 67 , $ 453 
ACME SPECIALTIES INC,01-East,733545700," $ 1,079 ", $ 134 , $ 945 
ACS INDUSTRIES INC.,01-East,740382101," $ 165,294 "," $ 57,490 "," $ 107,804 "
ACS INDUSTRIES INC.,01-East,733011000," $ 4,800 "," $ 1,200 "," $ 3,600 "
ADVANCE COOLING,01-East,739781100, $ 395 , $ 95 , $ 300 
ADVANCE THERMAL CORP,01-East,768221130," $ 131,510 "," $ 39,170 "," $ 92,341 "
ADVANCE THERMAL CORP,01-East,733201000," $ 18,278 "," $ 4,680 "," $ 13,598 "
ADVANCE THERMAL CORP,01-East,733151500," $ 17,460 "," $ 3,704 "," $ 13,756 "
ADVANCED CLIMATE TECH,01-East,770560000, $ 597 , $ 90 , $ 508 
ADVANCED RADIATION CORP,01-East,734211200," $ 3,785 ", $ 370 ," $ 3,415 "
AECOM,01-East,770722000," $ 1,342 ", $ 38 ," $ 1,304 "
AECOM,01-East,770930000," $ 1,055 ", $ 24 ," $ 1,031 "
AERO ENGINEERING & MFG,01-East,771100000," $ 5,400 ", $ 147 ," $ 5,253 "
AERO ENGINEERING & MFG,01-East,771102000, $ 967 , $ 23 , $ 944 
AERO TUBE TECHNOLOGIES,01-East,770800000," $ 2,736 ", $ 51 ," $ 2,685 "
AGIS,01-East,739561100," $ 56,288 "," $ 24,606 "," $ 31,682 "
AGIS,01-East,740063000," $ 38,956 "," $ 12,193 "," $ 26,762 "
AGIS,01-East,764822000," $ 15,720 "," $ 2,604 "," $ 13,115 "
AGIS,01-East,734311100," $ 12,847 "," $ 1,478 "," $ 11,369 "
AGIS,01-East,777601000," $ 4,915 "," $ 1,367 "," $ 3,548 "
AGIS,01-East,734900000," $ 4,603 "," $ 1,637 "," $ 2,966 "
AGIS,01-East,764781040," $ 3,262 ", $ 659 ," $ 2,603 "
AGIS,01-East,764482000," $ 2,740 ", $ 636 ," $ 2,104 "
AGIS,01-East,739541100," $ 2,551 ", $ 649 ," $ 1,902 "
AGIS,01-East,734910000," $ 2,069 ", $ 421 ," $ 1,647 "
AGIS,01-East,764522000," $ 1,883 ", $ 370 ," $ 1,513 "
AGIS,01-East,764762000," $ 1,677 ", $ 454 ," $ 1,223 "
AGIS,01-East,743975000," $ 1,492 ", $ 154 ," $ 1,338 "
AGIS,01-East,739761100," $ 1,214 ", $ 603 , $ 611 
AGIS,01-East,771170000," $ 1,120 ", $ 75 ," $ 1,044 "
AGIS,01-East,738521000," $ 1,111 ", $ 574 , $ 537 
AGIS,01-East,739450000, $ 756 , $ 390 , $ 366 
AGIS,01-East,739521100, $ 690 , $ 139 , $ 551 
AGIS,01-East,764601000, $ 474 , $ 93 , $ 381 
AGIS,01-East,740023000, $ 463 , $ 119 , $ 345 
AGIS,01-East,764862000, $ 429 , $ 79 , $ 351 
AGIS,01-East,733525600, $ 427 , $ 65 , $ 362 
AGIS,01-East,764821000, $ 385 , $ 63 , $ 323 
AGIS,01-East,793330000, $ 289 , $ 53 , $ 236 
AGIS,01-East,793330074, $ 139 , $ 48 , $ 91 
AGIS,01-East,734611100, $ 131 , $ 27 , $ 104 
AIR LIQUIDE AT REC,01-East,734900000, $ 204 , $ 38 , $ 166 
AIR PRODUCTS & CHEMICALS,01-East,764761000, $ 508 , $ 31 , $ 477 
AIR PRODUCTS & CHEMICALS,01-East,764781000, $ 454 , $ 20 , $ 434 
AIR PRODUCTS & CHEMICALS,01-East,764821000, $ 430 , $ 15 , $ 415 
AKRO-FIREGUARD,01-East,726020019, $ 232 , $ 23 , $ 209 
ALBATROSS UV,01-East,764601000, $ 326 , $ 13 , $ 313 
ALBERTUS ENGINEERING INC.,01-East,734311100, $ 700 , $ 71 , $ 629 
ALCOA,01-East,724401150," $ 28,791 "," $ 7,595 "," $ 21,196 "
ALCOA,01-East,724401500," $ 1,620 ", $ 371 ," $ 1,249 "
ALL TEMP INSULATION,01-East,735752000," $ 23,047 "," $ 6,722 "," $ 16,325 "
ALPHABET ENERGY INC,01-East,792654000," $ 1,024 ", $ 322 , $ 702 
ALPHABET ENERGY INC,01-East,792624000, $ 666 , $ 86 , $ 580 
ALPHABET ENERGY INC,01-East,739561200, $ 421 , $ 77 , $ 344 
ALPHABET ENERGY INC,01-East,739370000, $ 365 , $ 138 , $ 227 
ALSTOM POWER INC.,01-East,764902000," $ 4,300 "," $ 2,011 "," $ 2,288 "
ALTAIR TECHNOLOGIES,01-East,740361900," $ 2,736 ", $ 899 ," $ 1,837 "
ALYSSA OXLEY,01-East,733423700, $ 371 , $ 45 , $ 326 
AMERET LLC,01-East,764261000, $ 424 , $ 23 , $ 401 
AMERICAN CONTROL & ENGRG,01-East,770560000," $ 3,018 ", $ 172 ," $ 2,846 "
AMERICAN CONTROL & ENGRG,01-East,777601000, $ 367 , $ 72 , $ 295 
AMERICAN DESIGN &,01-East,764821000, $ 430 , $ 15 , $ 415 
AMERICAN NATIONAL CARBIDE,01-East,739761100," $ 7,695 "," $ 2,573 "," $ 5,123 "
AMERICAN POWER SERVICE,01-East,770500000," $ 2,043 ", $ 84 ," $ 1,959 "
AMERICAN RAILCAR,01-East,764706120," $ 1,200 ", $ 327 , $ 873 
"AMERISAFE, INC",01-East,733725500, $ 205 , $ 52 , $ 153 
AMERITHERM INC.,01-East,766081010," $ 1,101 ", $ 36 ," $ 1,065 "
AMERITHERM INC.,01-East,766121000, $ 875 , $ 27 , $ 848 
ANCHOR INSULATION,01-East,768144200," $ 3,070 ", $ 526 ," $ 2,544 "
ANTHONY INTERNATIONAL,01-East,764521000, $ 973 , $ 40 , $ 933 
APCO SERVICES,01-East,770570000," $ 3,317 ", $ 201 ," $ 3,115 "
APEX DISTRIBUTING INC,01-East,735602000," $ 23,968 "," $ 5,841 "," $ 18,127 "
APEX DISTRIBUTING,01-East,735602000," $ 90,480 "," $ 25,799 "," $ 64,681 "
APPLIED INDUSTRIAL TECH.,01-East,738561000," $ 20,199 "," $ 9,346 "," $ 10,853 "
APPLIED INDUSTRIAL TECH.,01-East,733525600," $ 14,175 "," $ 2,076 "," $ 12,099 "
APPLIED INDUSTRIAL TECH.,01-East,770222000," $ 9,348 ", $ 801 ," $ 8,547 "
APPLIED INDUSTRIAL TECH.,01-East,764821000," $ 3,362 ", $ 263 ," $ 3,099 "
APPLIED INDUSTRIAL TECH.,01-East,770522000," $ 3,337 ", $ 206 ," $ 3,132 "
APPLIED INDUSTRIAL TECH.,01-East,770560000," $ 1,347 ", $ 90 ," $ 1,258 "
APPLIED INDUSTRIAL TECH.,01-East,777601000, $ 739 , $ 131 , $ 608 
APPLIED INDUSTRIAL TECH.,01-East,724003000, $ 591 , $ 82 , $ 509 
APPLIED INDUSTRIAL TECH.,01-East,724281200, $ 511 , $ 89 , $ 422 
APPLIED INDUSTRIAL TECH.,01-East,764341000, $ 406 , $ 48 , $ 358 
APPLIED INDUSTRIAL TECH.,01-East,733151600, $ 311 , $ 47 , $ 264 
APPLIED TECHNICAL SERVICE,01-East,754067000," $ 1,935 ", $ 618 ," $ 1,317 "
APPLIED TECHNICAL SERVICE,01-East,739450000, $ 709 , $ 260 , $ 449 
APPLIED TECHNICAL SERVICE,01-East,764521000, $ 326 , $ 40 , $ 286 
APPROVED AERONAUTICS,01-East,733464500, $ 626 , $ 65 , $ 561 
APPROVED AERONAUTICS,01-East,733444200, $ 348 , $ 39 , $ 309 
ARCHIE BRAY FOUNDATION,01-East,734351200," $ 1,891 ", $ 143 ," $ 1,747 "
AREMCO PRODUCTS INC,01-East,734000000," $ 11,290 "," $ 1,366 "," $ 9,924 "
AREMCO PRODUCTS INC,01-East,734030000," $ 2,237 ", $ 495 ," $ 1,742 "
AREMCO PRODUCTS INC,01-East,734040000," $ 1,912 ", $ 485 ," $ 1,427 "
ARI - MARMADUKE,01-East,764706120," $ 74,370 "," $ 20,268 "," $ 54,102 "
ARI - MARMADUKE,01-East,764652002," $ 34,003 "," $ 5,785 "," $ 28,218 "
ARMENA REFINING USA,01-East,764481000," $ 1,758 ", $ 86 ," $ 1,672 "
ASHLAND ADVANCED,01-East,766689000," $ 19,660 "," $ 2,386 "," $ 17,274 "
ASK CHEMICALS HI-TECH LLC,01-East,732663000," $ 215,136 "," $ 33,046 "," $ 182,090 "
ASK CHEMICALS HI-TECH LLC,01-East,732670000," $ 11,330 "," $ 4,547 "," $ 6,782 "
ASK CHEMICALS HI-TECH LLC,01-East,732675000," $ 6,236 "," $ 2,049 "," $ 4,187 "
ASK CHEMICALS HI-TECH LLC,01-East,732650000," $ 4,882 "," $ 1,945 "," $ 2,937 "
ASK CHEMICALS HI-TECH LLC,01-East,732662000," $ 4,793 "," $ 1,755 "," $ 3,037 "
ASK CHEMICALS HI-TECH LLC,01-East,732630000," $ 4,683 "," $ 1,259 "," $ 3,424 "
ASK CHEMICALS HI-TECH LLC,01-East,733141200, $ 266 , $ 134 , $ 132 
ASPEN PRODUCTS GROUP,01-East,739390000, $ 365 , $ 162 , $ 203 
ATLANTECH DISTRIBUTION,01-East,735602000," $ 77,355 "," $ 29,396 "," $ 47,959 "
ATLANTECH DISTRIBUTION,01-East,739741100," $ 31,786 "," $ 32,063 ", $ -276 
ATLANTECH DISTRIBUTION,01-East,735752000," $ 10,092 "," $ 4,207 "," $ 5,885 "
ATLANTECH DISTRIBUTION,01-East,735602010," $ 1,800 "," $ 1,130 ", $ 670 
ATLANTECH DISTRIBUTION,01-East,734351200," $ 1,489 ", $ 147 ," $ 1,341 "
ATLANTECH DISTRIBUTION,01-East,734751200, $ 654 , $ 113 , $ 541 
ATLANTECH DISTRIBUTION,01-East,738542000, $ 640 , $ 574 , $ 66 
ATLANTIC CASTING,01-East,734351200," $ 1,891 ", $ 143 ," $ 1,747 "
"ATLAS HOSE & GASKET CO.,",01-East,739521100," $ 1,320 ", $ 120 ," $ 1,200 "
ATLAS METALIZING,01-East,733586500," $ 1,858 ", $ 181 ," $ 1,676 "
ATLAS METALIZING,01-East,734311100, $ 381 , $ 34 , $ 348 
AUBURN MANUFACTURING CO.,01-East,733464600, $ 611 , $ 66 , $ 545 
AUBURN MANUFACTURING CO.,01-East,770310000, $ 518 , $ 45 , $ 473 
AUBURN MANUFACTURING CO.,01-East,733151500, $ 472 , $ 54 , $ 418 
AUBURN MANUFACTURING CO.,01-East,733725500, $ 286 , $ 52 , $ 234 
AUTOMATIC MACHINE PRODUCT,01-East,740382101," $ 4,334 "," $ 1,351 "," $ 2,983 "
"AVIS INDUSTRIES, INC.",01-East,724281900, $ 600 , $ 149 , $ 451 
BAE SYSTEMS,01-East,738401000, $ 681 , $ 321 , $ 360 
BAE SYSTEMS,01-East,768021000, $ 389 , $ 27 , $ 362 
BAILEY POTTERY EQUIPMENT,01-East,734311100," $ 4,197 ", $ 411 ," $ 3,786 "
BAKER DISTRIBUTING  CO.,01-East,735602000," $ 31,775 "," $ 7,935 "," $ 23,840 "
BAKER MODULES,01-East,793560000," $ 6,660 "," $ 2,649 "," $ 4,011 "
BALLARD MATERIAL PRODUCTS,01-East,764481000," $ 2,090 ", $ 169 ," $ 1,921 "
BASF CORPORATION,01-East,724071900," $ 23,791 "," $ 3,183 "," $ 20,608 "
BASF,01-East,733141200, $ 520 , $ 67 , $ 453 
BATTELLE FOR THE US DOE,01-East,777601000, $ 387 , $ 72 , $ 315 
BATTELLE FOR THE US DOE,01-East,768111000, $ 280 , $ 15 , $ 265 
BAY INDUSTRIES INC.,01-East,735602000," $ 1,477,184 "," $ 497,108 "," $ 980,076 "
BAY INDUSTRIES INC.,01-East,735602110," $ 428,300 "," $ 150,905 "," $ 277,395 "
BAY INDUSTRIES INC.,01-East,764631000," $ 244,922 "," $ 80,765 "," $ 164,156 "
BAY INDUSTRIES INC.,01-East,735750000," $ 111,685 "," $ 45,262 "," $ 66,423 "
BAY INDUSTRIES INC.,01-East,764822000," $ 93,744 "," $ 22,127 "," $ 71,617 "
BAY INDUSTRIES INC.,01-East,764651000," $ 87,479 "," $ 24,692 "," $ 62,787 "
BAY INDUSTRIES INC.,01-East,764901000," $ 80,119 "," $ 33,922 "," $ 46,197 "
BAY INDUSTRIES INC.,01-East,764522000," $ 77,203 "," $ 22,375 "," $ 54,828 "
BAY INDUSTRIES INC.,01-East,764821000," $ 74,254 "," $ 28,927 "," $ 45,327 "
BAY INDUSTRIES INC.,01-East,764521000," $ 48,980 "," $ 20,994 "," $ 27,986 "
BAY INDUSTRIES INC.,01-East,764706300," $ 41,078 "," $ 17,359 "," $ 23,718 "
BAY INDUSTRIES INC.,01-East,764602000," $ 35,085 "," $ 11,564 "," $ 23,521 "
BAY INDUSTRIES INC.,01-East,735752000," $ 28,110 "," $ 9,785 "," $ 18,325 "
BAY INDUSTRIES INC.,01-East,764902000," $ 18,430 "," $ 4,809 "," $ 13,621 "
BAY INDUSTRIES INC.,01-East,735862000," $ 16,374 "," $ 7,084 "," $ 9,290 "
BAY INDUSTRIES INC.,01-East,764261000," $ 14,530 "," $ 6,651 "," $ 7,880 "
BAY INDUSTRIES INC.,01-East,766162000," $ 14,175 "," $ 8,969 "," $ 5,206 "
BAY INDUSTRIES INC.,01-East,764861000," $ 13,845 "," $ 6,022 "," $ 7,823 "
BAY INDUSTRIES INC.,01-East,766121000," $ 13,800 "," $ 5,970 "," $ 7,830 "
BAY INDUSTRIES INC.,01-East,764862000," $ 11,308 "," $ 4,897 "," $ 6,411 "
BAY INDUSTRIES INC.,01-East,764706200," $ 10,386 "," $ 3,579 "," $ 6,807 "
BAY INDUSTRIES INC.,01-East,764341000," $ 9,600 "," $ 4,797 "," $ 4,803 "
BAY INDUSTRIES INC.,01-East,764901050," $ 8,960 "," $ 2,022 "," $ 6,938 "
BAY INDUSTRIES INC.,01-East,733151500," $ 8,720 "," $ 2,164 "," $ 6,556 "
BAY INDUSTRIES INC.,01-East,779988827," $ 8,170 "," $ 4,272 "," $ 3,897 "
BAY INDUSTRIES INC.,01-East,780250000," $ 5,103 "," $ 2,494 "," $ 2,610 "
BAY INDUSTRIES INC.,01-East,780401000," $ 4,239 "," $ 2,826 "," $ 1,414 "
BAY INDUSTRIES INC.,01-East,764601000," $ 3,175 "," $ 1,329 "," $ 1,846 "
BAY INDUSTRIES INC.,01-East,764561000," $ 2,053 ", $ 926 ," $ 1,127 "
BAY INDUSTRIES INC.,01-East,766001000," $ 1,290 ", $ 599 , $ 691 
BAY INDUSTRIES INC.,01-East,766122000," $ 1,180 ", $ 288 , $ 892 
BAY INDUSTRIES INC.,01-East,734910000, $ 571 , $ 103 , $ 468 
BAY INDUSTRIES INC.,01-East,768144210, $ 322 , $ 118 , $ 203 
BAY INSULATION OF TEXAS,01-East,735750000," $ 4,740 "," $ 1,907 "," $ 2,833 "
BAY INSULATION,01-East,739781100, $ 559 , $ 328 , $ 231 
"BENGAL SUPPLY, LLC",01-East,735602000," $ 27,360 "," $ 8,284 "," $ 19,076 "
BIRK MANUFACTURING,01-East,733525500, $ 753 , $ 70 , $ 682 
BLACKSTONE-NEY ULTRASONIC,01-East,739641100, $ 394 , $ 137 , $ 256 
BLASCH PRECISION CERAMICS,01-East,764821000," $ 4,402 ", $ 155 ," $ 4,247 "
BLASCH PRECISION CERAMICS,01-East,770212000," $ 3,133 ", $ 237 ," $ 2,896 "
BLASCH PRECISION CERAMICS,01-East,770200000," $ 2,592 ", $ 166 ," $ 2,426 "
BLASCH PRECISION PRODUCTS,01-East,770212000," $ 2,054 ", $ 156 ," $ 1,898 "
BLASCH PRECISION PRODUCTS,01-East,770220000, $ 942 , $ 55 , $ 887 
BLASCH PRECISION PRODUCTS,01-East,764821000, $ 860 , $ 31 , $ 829 
BLASCH PRECISION PRODUCTS,01-East,779987651, $ 815 , $ 95 , $ 720 
BLICKMAN INC.,01-East,739541100," $ 23,070 "," $ 3,434 "," $ 19,636 "
BLOOM ENERGY CORPORATION,01-East,777907250," $ 3,930 "," $ 2,688 "," $ 1,242 "
BLOUNT BOATS INC.,01-East,768133000," $ 2,592 ", $ 707 ," $ 1,885 "
BLOXR CORPORATION,01-East,733525500," $ 5,840 ", $ 563 ," $ 5,277 "
BLOXR CORPORATION,01-East,733464600," $ 2,960 ", $ 350 ," $ 2,610 "
BLOXR CORPORATION,01-East,733444200," $ 1,676 ", $ 193 ," $ 1,483 "
BLOXR CORPORATION,01-East,733464500," $ 1,252 ", $ 130 ," $ 1,122 "
BODY COTE,01-East,764461006," $ 1,200 ", $ 136 ," $ 1,064 "
BOEING AEROSPACE COMPANY,01-East,733141200, $ 432 , $ 60 , $ 372 
BOEING COMMERCIAL,01-East,733648000," $ 197,199 "," $ 116,962 "," $ 80,237 "
BOEING COMMERCIAL,01-East,733649000," $ 89,635 "," $ 54,445 "," $ 35,190 "
BOEING COMPANY,01-East,715000000," $ 2,635 ", $ 304 ," $ 2,331 "
BOEING COMPANY,01-East,737912200, $ 692 , $ 87 , $ 605 
BOEING COMPANY,01-East,737902100, $ 462 , $ 67 , $ 395 
BOEING COMPANY,01-East,727000140, $ 255 , $ 16 , $ 239 
BOLTS METALLIZING WEST,01-East,733464500, $ 596 , $ 59 , $ 537 
BOLTS METALLIZING WEST,01-East,764481000, $ 346 , $ 17 , $ 329 
BOSTON ATLANTIC CORP.,01-East,738361000, $ 602 , $ 164 , $ 437 
BRADCO SUPPLY INC.,01-East,735602000," $ 13,050 "," $ 3,796 "," $ 9,254 "
BRADEN MANUFACTURING,01-East,768231000," $ 65,059 "," $ 43,104 "," $ 21,955 "
BRADEN MANUFACTURING,01-East,768241000," $ 56,920 "," $ 37,832 "," $ 19,088 "
BRADEN MANUFACTURING,01-East,768080000," $ 48,538 "," $ 37,090 "," $ 11,448 "
BRADEN MANUFACTURING,01-East,771320000," $ 44,469 "," $ 6,242 "," $ 38,226 "
BRADEN MANUFACTURING,01-East,768231012," $ 29,663 "," $ 20,710 "," $ 8,953 "
BRADEN MANUFACTURING,01-East,768241102," $ 20,942 "," $ 14,418 "," $ 6,524 "
BRADEN MANUFACTURING,01-East,768231200," $ 3,120 "," $ 1,795 "," $ 1,325 "
BRADEN MANUFACTURING,01-East,768144200, $ 975 , $ 213 , $ 762 
BRADEN MANUFACTURING,01-East,770220000, $ 424 , $ 27 , $ 397 
BRAND ENERGY SERVICES LLC,01-East,733464600, $ 298 , $ 31 , $ 267 
BRAUER SUPPLY COMPANY,01-East,735602000," $ 414,296 "," $ 132,067 "," $ 282,229 "
BRAUER SUPPLY COMPANY,01-East,735602110," $ 58,712 "," $ 19,153 "," $ 39,559 "
BRAUER SUPPLY COMPANY,01-East,735752000," $ 27,784 "," $ 10,316 "," $ 17,468 "
BRAUER SUPPLY COMPANY,01-East,735750000," $ 26,081 "," $ 10,091 "," $ 15,990 "
BRAYTON ENERGY,01-East,740361701," $ 1,130 ", $ 629 , $ 502 
BRIGHTSOURCE CONSTRUCTION,01-East,777690062," $ 1,287,662 "," $ 981,523 "," $ 306,139 "
BRIGHTSOURCE CONSTRUCTION,01-East,777692562," $ 167,520 "," $ 159,605 "," $ 7,915 "
BRIGHTSOURCE CONSTRUCTION,01-East,777692662," $ 74,214 "," $ 71,587 "," $ 2,627 "
BRIGHTSOURCE CONSTRUCTION,01-East,777699062," $ 55,212 "," $ 42,085 "," $ 13,128 "
BRIGHTSOURCE CONSTRUCTION,01-East,777691562," $ 53,807 "," $ 41,014 "," $ 12,793 "
BRIGHTSOURCE CONSTRUCTION,01-East,777690362," $ 48,810 "," $ 37,206 "," $ 11,605 "
BRIGHTSOURCE CONSTRUCTION,01-East,777692462," $ 46,068 "," $ 43,855 "," $ 2,213 "
BRIGHTSOURCE CONSTRUCTION,01-East,777690862," $ 41,884 "," $ 31,926 "," $ 9,958 "
BRIGHTSOURCE CONSTRUCTION,01-East,793550074," $ 33,638 "," $ 25,235 "," $ 8,402 "
BRIGHTSOURCE CONSTRUCTION,01-East,777691162," $ 26,387 "," $ 14,918 "," $ 11,469 "
BRIGHTSOURCE CONSTRUCTION,01-East,777691262," $ 22,967 "," $ 12,985 "," $ 9,982 "
BRIGHTSOURCE CONSTRUCTION,01-East,777692762," $ 14,813 "," $ 14,256 ", $ 556 
BRIGHTSOURCE CONSTRUCTION,01-East,777652674," $ 9,360 "," $ 7,134 "," $ 2,226 "
BRIGHTSOURCE CONSTRUCTION,01-East,777691862," $ 9,333 "," $ 6,997 "," $ 2,336 "
BRIGHTSOURCE CONSTRUCTION,01-East,734351200," $ 9,206 "," $ 1,495 "," $ 7,711 "
BRIGHTSOURCE CONSTRUCTION,01-East,734910000," $ 8,719 "," $ 2,413 "," $ 6,305 "
BRIGHTSOURCE CONSTRUCTION,01-East,777694062," $ 8,559 "," $ 6,524 "," $ 2,035 "
BRIGHTSOURCE CONSTRUCTION,01-East,777690162," $ 8,506 "," $ 6,483 "," $ 2,023 "
BRIGHTSOURCE CONSTRUCTION,01-East,777652362," $ 7,994 "," $ 7,694 ", $ 300 
BRIGHTSOURCE CONSTRUCTION,01-East,777690262," $ 7,767 "," $ 5,919 "," $ 1,847 "
BRIGHTSOURCE CONSTRUCTION,01-East,777692262," $ 4,827 "," $ 3,680 "," $ 1,148 "
BRIGHTSOURCE CONSTRUCTION,01-East,777690462," $ 4,640 "," $ 3,537 "," $ 1,103 "
BRIGHTSOURCE CONSTRUCTION,01-East,777652474," $ 4,492 "," $ 3,423 "," $ 1,069 "
BRIGHTSOURCE CONSTRUCTION,01-East,779988847," $ 4,118 "," $ 3,719 ", $ 399 
BRIGHTSOURCE CONSTRUCTION,01-East,777690962," $ 4,040 "," $ 3,079 ", $ 960 
BRIGHTSOURCE CONSTRUCTION,01-East,777690562," $ 3,168 "," $ 2,415 ", $ 753 
BRIGHTSOURCE CONSTRUCTION,01-East,777691062," $ 2,855 "," $ 2,176 ", $ 679 
BRIGHTSOURCE CONSTRUCTION,01-East,777691962," $ 2,446 "," $ 1,864 ", $ 582 
BRIGHTSOURCE CONSTRUCTION,01-East,777692362," $ 2,357 "," $ 1,797 ", $ 560 
BRIGHTSOURCE CONSTRUCTION,01-East,777692162," $ 2,129 "," $ 1,623 ", $ 506 
BRIGHTSOURCE CONSTRUCTION,01-East,777690662," $ 2,042 "," $ 1,556 ", $ 485 
BRIGHTSOURCE CONSTRUCTION,01-East,777690762," $ 1,913 "," $ 1,458 ", $ 455 
BRIGHTSOURCE CONSTRUCTION,01-East,777692062," $ 1,723 "," $ 1,313 ", $ 410 
BRIGHTSOURCE CONSTRUCTION,01-East,777691662," $ 1,637 "," $ 1,247 ", $ 389 
BRIGHTSOURCE CONSTRUCTION,01-East,777693062," $ 1,500 "," $ 1,143 ", $ 357 
BRIGHTSOURCE CONSTRUCTION,01-East,777691762," $ 1,425 "," $ 1,086 ", $ 339 
BRIGHTSOURCE CONSTRUCTION,01-East,777692962," $ 1,193 "," $ 1,148 ", $ 45 
BRIGHTSOURCE CONSTRUCTION,01-East,777652462," $ 1,176 "," $ 1,131 ", $ 44 
BRIGHTSOURCE CONSTRUCTION,01-East,777693162," $ 1,176 "," $ 1,131 ", $ 44 
BRIGHTSOURCE CONSTRUCTION,01-East,777652762," $ 1,147 "," $ 1,109 ", $ 38 
BRIGHTSOURCE CONSTRUCTION,01-East,777652862," $ 1,147 "," $ 1,109 ", $ 38 
BRIGHTSOURCE CONSTRUCTION,01-East,777652562," $ 1,133 ", $ 876 , $ 257 
BRIGHTSOURCE CONSTRUCTION,01-East,777695062, $ 860 , $ 656 , $ 204 
BRIGHTSOURCE CONSTRUCTION,01-East,777692862, $ 663 , $ 638 , $ 25 
BRIGHTSOURCE CONSTRUCTION,01-East,777693262, $ 644 , $ 620 , $ 24 
